customer_id,tenure_months,monthly_charges,support_calls_ltm,internat_plan,contract_type,total_charges,churn_actual
TEL-0001,52,93.02461470901459,4,0,1,4561.169954757054,0
TEL-0002,15,79.88082963834914,1,0,1,1125.0901119928824,0
TEL-0003,61,26.449127124916753,1,1,1,1478.2213217678338,0
TEL-0004,21,107.72394571622004,2,0,1,2395.9195339577923,0
TEL-0005,24,107.72617628261796,2,1,0,2494.68217187234,1
TEL-0006,3,53.040800387577384,1,0,0,170.48274880629398,0
TEL-0007,22,54.04058433495647,1,0,1,1214.6479283273788,0
TEL-0008,53,118.90283583501738,0,1,0,6520.692581085834,0
TEL-0009,2,82.61761715931382,3,0,0,158.3506669590516,1
TEL-0010,30,73.1316520568059,3,0,0,2175.210722303757,1
TEL-0011,38,103.81521835519244,1,1,1,3875.7972471904977,0
TEL-0012,2,48.52903383573164,2,0,0,91.92735816283509,1
TEL-0013,64,62.91825933963569,1,0,1,4294.558509454488,0
TEL-0014,60,46.77766754883342,3,1,1,2875.1899940358344,0
TEL-0015,21,98.91608465887315,2,0,1,1885.0650235856297,0
TEL-0016,33,77.3349345635218,1,1,0,2715.341868208311,0
TEL-0017,58,85.88250701400705,0,0,1,4588.7056107113185,0
TEL-0018,22,45.230724983940654,1,0,1,975.910077075304,0
TEL-0019,49,42.02253013773151,2,0,1,2088.4490506524266,0
TEL-0020,59,68.83746289829386,1,0,1,3661.4842495034964,0
TEL-0021,42,93.75657490928268,1,0,1,4058.1997242243283,0
TEL-0022,60,72.52397575201601,1,0,0,4490.426050515287,0
TEL-0023,15,23.264567754566862,4,0,1,359.613892836364,1
TEL-0024,62,106.85515063202888,2,0,0,6179.113055525393,0
TEL-0025,62,26.468689351513156,2,0,0,1560.8872197943424,0
TEL-0026,47,115.58244837207522,3,0,1,5157.905213301424,0
TEL-0027,62,22.51419582772727,1,0,0,1524.319814418499,0
TEL-0028,51,89.44504561307087,1,0,0,4167.1362238631355,0
TEL-0029,55,28.220706371178167,1,0,1,1530.0244441071259,0
TEL-0030,64,111.06765794351396,0,0,1,7636.12917170433,0
TEL-0031,3,66.44332362255427,2,0,0,210.07250063228065,0
TEL-0032,51,33.75237748170154,1,0,1,1832.3797722997333,0
TEL-0033,7,54.08156997898466,0,0,0,414.33031978136506,0
TEL-0034,21,36.4824675346762,0,0,0,748.8573556788215,1
TEL-0035,39,37.058191155709,2,0,0,1390.2495714982301,0
TEL-0036,18,114.81083201714422,4,1,0,1872.6076283418524,1
TEL-0037,4,64.52461122847882,3,1,0,240.03255321951204,0
TEL-0038,60,98.88022639053595,1,0,0,6006.397860401099,0
TEL-0039,14,83.96055611776819,3,0,1,1094.9673665517819,0
TEL-0040,9,87.64263623383923,1,1,1,826.0624363050767,0
TEL-0041,53,33.16934384720385,2,0,1,1595.268500904332,0
TEL-0042,2,43.418444681548564,0,0,1,82.65982697977877,0
TEL-0043,60,98.67503351544369,1,0,0,6151.93813293931,0
TEL-0044,71,117.0766206474783,2,0,1,7905.966442008569,0
TEL-0045,44,46.26756425986517,2,0,1,2128.913694845941,0
TEL-0046,8,47.156876475103985,3,0,0,414.66843823627505,1
TEL-0047,47,67.28971328109048,2,0,0,3350.5290495275285,0
TEL-0048,35,118.38403128554378,3,0,1,4012.3720030059244,0
TEL-0049,36,46.8958945826471,4,1,1,1823.5122368814773,0
TEL-0050,50,60.69719096342639,4,0,1,2762.438255247297,0
TEL-0051,4,109.14800156235067,3,0,0,456.23924243045457,0
TEL-0052,2,20.2921032621362,3,0,0,36.715089535998594,0
TEL-0053,6,23.976596498856956,3,0,1,134.49591710842603,0
TEL-0054,54,80.40716770712191,1,0,1,4765.405251892715,0
TEL-0055,4,110.7380164712847,1,0,0,430.62780280385107,0
TEL-0056,54,43.88566604019277,1,0,0,2521.7315158734264,0
TEL-0057,63,66.9641774680709,1,0,1,4114.191513449124,0
TEL-0058,18,65.04653016578183,1,0,1,1250.461158159432,0
TEL-0059,44,67.29713460955102,3,0,0,3236.7141116483085,0
TEL-0060,34,82.25196957297452,0,0,0,2760.5115230561787,0
TEL-0061,62,66.97437629906838,0,0,1,4201.699781880104,0
TEL-0062,14,64.74681413224579,1,0,1,929.7765898623076,0
TEL-0063,48,67.42884204312605,1,0,0,3518.0603271010386,0
TEL-0064,15,79.08674412710415,2,0,0,1128.5862075631574,0
TEL-0065,62,73.70074883513584,2,0,1,4671.116037635955,0
TEL-0066,40,105.41359976505044,3,0,0,4068.7290169300572,0
TEL-0067,53,24.94968534936666,1,0,1,1247.4715857911115,0
TEL-0068,24,103.33170714730124,0,1,1,2274.0846996751293,0
TEL-0069,26,104.3924612611724,2,1,0,2779.7307744555424,0
TEL-0070,60,48.490802153096084,1,0,1,3131.7797055241517,0
TEL-0071,41,66.28519550158506,1,0,1,2636.919313954876,0
TEL-0072,29,63.85384885374355,0,0,1,1871.267531505166,0
TEL-0073,15,41.85098343541303,2,0,0,645.6100688685947,0
TEL-0074,45,59.67968470863165,0,0,1,2639.742957576345,0
TEL-0075,65,24.438777217085445,1,0,0,1716.6657864396773,0
TEL-0076,71,47.782207278173445,0,0,1,3299.4150857884174,0
TEL-0077,9,101.66821754507181,1,0,1,846.3898911693694,0
TEL-0078,1,48.45623017628975,2,0,0,45.00634388262574,0
TEL-0079,8,101.82066687482475,2,0,1,878.2411477382437,0
TEL-0080,63,73.15994646044308,2,0,1,5058.929919824396,0
TEL-0081,11,107.98626773611599,1,0,0,1137.706954787606,0
TEL-0082,8,77.47795542644153,6,0,0,575.6429519942051,1
TEL-0083,35,22.966822306473983,1,0,1,800.9790891775901,0
TEL-0084,35,87.54202075470891,2,0,0,3192.3682970470277,0
TEL-0085,33,24.485356802356865,0,0,0,826.1814615272335,0
TEL-0086,5,65.05970189831339,2,0,1,354.6474733417519,0
TEL-0087,41,112.9426694473114,2,0,1,4924.953043897773,1
TEL-0088,28,36.520393933785016,0,0,1,1098.0310795309183,0
TEL-0089,7,58.98723529415441,0,0,0,416.3516097633775,0
TEL-0090,12,92.98603088484784,2,0,0,1077.2859845202672,1
TEL-0091,34,108.22585560948475,1,0,0,3828.1438466299946,0
TEL-0092,33,87.09430047425079,1,1,1,2839.0782388306047,0
TEL-0093,48,45.81732541911692,2,0,1,2105.87610303937,0
TEL-0094,23,87.46078529162162,3,0,0,1871.6997387672147,0
TEL-0095,62,49.672764110409,2,0,0,3096.880277865816,0
TEL-0096,37,91.84292298187353,0,1,1,3462.2464213663275,0
TEL-0097,44,115.40331275850406,0,0,1,5147.601003082273,0
